amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	number-of-items	item-status	tax-collection-model	tax-collection-responsible-party	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	payment-method-details	is-business-order	purchase-order-number	price-designation	customized-url	customized-page	signature-confirmation-recommended 
702-1579090-9113046	702-1579090-9113046	2023-02-28T16:24:51+00:00	2023-03-08T09:11:40+00:00	Shipped	Amazon	Amazon.com.mx			Standard	Changes Yellowstone Dutton Ranch Y Logo Establecida 1886 Kevin Stner Hebilla de cinturón 66-57, Plata, plateado, Talla única	6695057-yellowstoneBeltBuckle-FBA	B09BRTSWCD		Shipped			1	MXN	511.71								MERIDA	YUCATAN	97302	MX		CreditCard	false					false
701-2850720-9656227	701-2850720-9656227	2023-02-27T23:32:12+00:00	2023-02-28T22:43:23+00:00	Shipped	Amazon	Amazon.com.mx			Standard	Concept One South Park - Gorros para Cosplay, Green, Talla única	ETPK1021TS-kylebeanie-FBA	B073KRZD61		Shipped			1	MXN	437.01		123.53						HERMOSILLO	SONORA	83106	MX		CreditCard	false					false
702-4374221-1344210	702-4374221-1344210	2023-02-24T21:55:18+00:00	2023-02-25T06:22:13+00:00	Shipped	Amazon	Amazon.com.mx			Standard	Concept One South Park - Gorros para Cosplay, Green, Talla única	ETPK1021TS-kylebeanie-FBA	B073KRZD61		Shipped			1	MXN	436.22								mexico city	mexico	11700	MX		CreditCard	false					false
702-9473869-9489037	702-9473869-9489037	2023-02-24T19:40:02+00:00	2023-02-27T21:27:17+00:00	Shipped	Amazon	Amazon.com.mx			Standard	Rocky Balboa Mens Apollo Movie Boxing American Flag Shorts (X-Large)	ApolloShorts-FBA-XL	B0019CEOXM		Shipped			1	MXN	474.84		106.36						CIUDAD DE MEXICO	CIUDAD DE MEXICO	07760	MX		Other	false					false
702-1590502-8877048	702-1590502-8877048	2023-02-24T18:10:52+00:00	2023-02-25T22:33:39+00:00	Shipped	Amazon	Amazon.com.mx			Standard	Concept One South Park - Gorros para Cosplay, Green, Talla única	ETPK1021TS-kylebeanie-FBA	B073KRZD61		Shipped			1	MXN	436.22								CELAYA	GUANAJUATO	38010	MX		CreditCard	false					false
701-4281310-3307469	701-4281310-3307469	2023-02-24T08:12:59+00:00	2023-02-24T20:13:11+00:00	Shipped	Amazon	Amazon.com.mx			Standard	Hulk Hogan Hulkamania Sleeveless T-Shirt Gold [Apparel] Size: Medium	hulk003-FBA-M	B000HQ6Q28		Shipped			1	MXN	511.24								SALTILLO	COAHUILA DE ZARAGOZA	25014	MX		CreditCard	false					false
701-2757253-9621808	701-2757253-9621808	2023-02-24T04:16:57+00:00	2023-02-24T16:37:23+00:00	Shipped	Amazon	Amazon.com.mx			Standard	Concept One South Park - Gorros para Cosplay, Green, Talla única	ETPK1021TS-kylebeanie-FBA	B073KRZD61		Shipped			1	MXN	436.22								CIUDAD DE MEXICO	CIUDAD DE MEXICO	07450	MX		CreditCard	false					false
701-3842479-3453859	701-3842479-3453859	2023-02-23T21:47:22+00:00	2023-02-24T16:33:51+00:00	Shipped	Amazon	Amazon.com.mx			Standard	Concept One South Park - Gorros para Cosplay, Green, Talla única	ETPK1021TS-kylebeanie-FBA	B073KRZD61		Shipped			1	MXN	436.22		123.53						DELICIAS	CHIHUAHUA	33086	MX		Other	false					false
701-8679310-0296240	701-8679310-0296240	2023-02-23T00:38:45+00:00	2023-06-07T20:57:39+00:00	Cancelled	Amazon	Amazon.com.mx			Standard	Concept One South Park - Gorros para Cosplay, Green, Talla única	ETPK1021TS-kylebeanie-FBA	B073KRZD61		Cancelled			0															CreditCard	false					false
702-0156044-1684229	702-0156044-1684229	2023-02-22T22:02:54+00:00	2024-02-06T02:23:38+00:00	Cancelled	Amazon	Amazon.com.mx			Standard	Michael's Secret Stuff Water Bottle	SecretStuffWaterBottle-FBA	B07BMD7NCZ		Cancelled			0										EL SALTO	JALISCO	45690	MX		CreditCard	false					false
